Sample:,Stimulation,Live Cell Count,Live Cell Frequency,CD4+pSTAT1(S727)+,CD4+pSTAT1(S727)high,CD4+pSTAT1(S727)low,CD4+pSTAT1(Y701)+,CD4+pSTAT2+,CD4+pSTAT3(S727)+,CD4+pSTAT3(S727)high,CD4+pSTAT3(S727)low,CD4+pSTAT3(Y705)+,CD4+pSTAT4+,CD4+pSTAT5+,CD4+pSTAT6+,CD8+pSTAT1(S727)+,CD+pSTAT1(S727)high,CD8+pSTAT1(S727)low,CD8+pSTAT1(Y701)+,CD8+pSTAT2+,CD8+pSTAT3(S727)+,CD8+pSTAT3(S727)high,CD8+pSTAT3(S727)low,CD8+pSTAT3(Y705)+,CD8+pSTAT4+,CD8+pSTAT5+,CD8+pSTAT6+
B5.fcs,IL-32a,76314,93.9,85.7,13.1,70.9,0.066,5.08,84.6,0.13,84.1,0.058,0.022,0.45,0.12,87.6,16.7,69,0.63,6.7,85.4,0.036,84.9,0.11,0.51,0.41,0.36
D10.fcs,IL-32a,49577,92.8,84.2,16.8,64.7,0.07,9.23,84.4,0.18,83.9,0.078,0.029,1.02,0.14,86.1,22.8,60.4,0.85,10.9,84.6,0.05,84.1,0.2,0.57,0.75,0.42
H4.fcs,IL-32a,49817,94.3,66,0.16,67.1,0.073,9.91,80,0.039,79.1,0.044,0.031,1.14,0.13,69.7,0.47,70.6,0.88,11,78.5,0.024,77.2,0.12,0.64,0.89,0.52
E3.fcs,IL-4,69293,94.7,79.9,0.35,80.5,0.041,7.48,83.8,0.13,82.9,0.044,0.019,1.17,10.7,84,0.98,83.4,0.4,8.14,82.5,0.027,81.6,0.12,0.28,0.86,11.1
E12.fcs,IL-4,63660,95.5,89,15,70.4,0.059,9.42,87.7,0.075,87.1,0.091,0.034,1.9,10.5,90.5,23.7,62.7,0.6,10.9,86.8,0.021,86,0.12,0.37,1.51,10.3
A9.fcs,IL-4,63746,94.1,85.9,64.3,18.5,0.074,19.5,86,1.86,83.8,0.28,0.12,3.28,13.5,87.1,62.1,22.7,1.02,24.2,86.4,0.8,85.3,0.41,0.9,2.44,13.1
D6.fcs,IL-5,69029,94.2,84.5,4.1,79.7,0.049,8.12,83.9,0.16,83.2,0.047,0.017,0.93,0.11,86.3,6.65,78.7,0.62,9.11,83.7,0.062,82.9,0.071,0.42,0.83,0.35
E1.fcs,IL-5,63370,94.4,74.6,0.53,75.2,0.069,7.52,83.4,0.19,82.6,0.032,0.012,0.93,0.1,80,1.07,79.4,0.46,8.69,82.6,0.12,81.5,0.11,0.36,0.7,0.31
A11.fcs,IL-5,57783,91.7,86.9,33,51.5,0.081,12.3,85.4,0.87,84.1,0.19,0.09,1.61,0.19,87.7,35.6,50.1,0.95,14.8,85.3,0.35,84.5,0.26,0.75,1.5,0.43
D1.fcs,IL-6,64504,93.4,84.9,8.93,74.8,0.18,9.3,86.2,7.68,77.8,78.8,0.6,2.42,0.66,84.9,5.05,79.5,0.64,11.1,85.8,2.58,82.6,51.6,0.69,1.11,0.58
A7.fcs,IL-6,68169,92.6,85.4,72.1,11.7,0.25,32,85.8,36.6,47.3,78.5,2.53,10.4,1.15,86,64.1,20,0.65,36.8,85.6,16.8,67.6,49.1,1.71,6.63,1.04
F11.fcs,IL-6,55400,94.4,89.5,54.1,31.8,0.27,13.1,89.7,12.6,75.9,83,0.93,3.79,0.83,91.6,44.7,43.5,0.8,15,91.3,3.86,86.6,54.2,1.08,1.72,0.83
C7.fcs,IL-7,68602,93.5,85.5,9.19,74.8,0.067,12.9,84.7,0.8,83.5,0.22,0.034,57.6,0.14,86.6,13.7,71.2,0.69,14.8,84.5,0.33,83.7,0.58,0.48,45.7,0.35
B1.fcs,IL-7,77481,93.9,86.7,44,38.8,0.069,32,87.1,6.02,80.5,0.59,0.069,72.1,0.22,86.1,50.9,31.9,0.53,35.8,86.4,2.34,83.6,1.08,0.45,59.6,0.42
H12.fcs,IL-7,69362,95.7,89.2,5.68,81.7,0.11,8.13,86.9,0.019,86.3,0.14,0.032,58.4,0.21,90.7,12.4,75.8,0.69,9,85.8,0,84.9,0.26,0.49,46,0.53
D3.fcs,IL-8,79275,94.9,84,1.97,82,0.044,7.98,81.3,0.19,80.3,0.05,0.018,0.88,0.1,85.8,4.19,81.2,0.53,9.14,80.5,0.04,79.4,0.087,0.38,0.68,0.21
B7.fcs,IL-8,68357,93.7,86,24.4,59.3,0.06,15.7,85.6,1.81,83.3,0.14,0.047,2.59,0.2,85.9,28.7,55.1,0.61,17.9,84.5,0.77,83.3,0.18,0.41,2.47,0.36
H7.fcs,IL-8,46720,94.1,51.2,0.045,53.5,0.1,5.84,6.80E+01,5.62E-03,66.2,0.034,0.025,0.85,0.13,55.9,0,58.3,0.95,6.41,66.2,0.013,64.5,0.04,0.66,0.6,0.35
B10.fcs,IL-9,61455,93.2,84.9,18.6,63.6,0.065,9.48,84.9,0.55,84.2,0.88,0.27,1.51,0.14,85.7,24.3,58.6,0.67,11.4,85,0.21,84.5,0.79,0.81,1.31,0.41
F9.fcs,IL-9,58385,95.2,87.8,22.6,61.9,0.072,11.9,88.4,0.22,87.9,1.11,0.25,1.53,0.13,90.2,27.9,59,0.66,13.5,89,0.072,88.6,0.93,0.71,1.25,0.41
D2.fcs,IL-9,72291,94.6,83.5,2.36,80.8,0.075,11.9,83.7,0.54,82.7,1.03,0.22,1.93,0.13,85.7,4.65,80,0.62,13.6,84.4,0.33,83.6,0.94,0.61,1.92,0.37
G4.fcs,MIP1a,60378,94.3,68.1,0.021,69.6,0.058,7.61,81.8,0.036,81,2.80E-02,6.43E-03,0.84,0.11,73.1,0.02,74.6,0.57,8.35,81.1,0,80.1,0.08,0.44,0.56,0.31
E9.fcs,MIP1a,52253,94.1,82.3,4.18,77.5,0.059,10.1,85,0.13,84.4,0.054,0.025,0.92,0.13,86.2,7.98,77,0.78,11.7,84.8,0.034,84,0.08,0.57,0.56,0.45
H8.fcs,MIP1a,48989,94.7,68.2,0.077,69.7,0.085,11.1,82.1,0.029,81.4,0.034,0.021,1.2,0.15,73,0.071,74.3,0.81,11.4,81.2,0,80.2,0.095,0.61,1.14,0.49
E10.fcs,MIP1b,51237,93.6,81.8,8.42,72.5,0.05,11.5,85.6,0.19,85,0.048,0.025,1.24,0.12,85,9.98,74,0.84,13.6,86.1,0.094,85.4,0.17,0.64,0.96,0.44
G7.fcs,MIP1b,53285,93.7,62.9,0.036,64.8,0.058,7.73,77.8,0.027,76.7,0.029,0.012,0.8,0.13,69.2,0.12,70.6,0.85,8.66,75.4,0,74.3,0.035,0.56,0.61,0.43
H6.fcs,MIP1b,54130,94.5,56,0.022,58,0.077,10.3,77.4,0.031,76.3,9.40E-02,9.59E-03,1.41,0.096,61.2,0.055,63,0.78,10.3,75.2,0.011,73.6,0.12,0.52,1,0.36
C4.fcs,None,64998,93,84.4,8.56,74.3,0.044,9.75,84.5,0.34,84,0.058,0.032,1.13,0.13,86.5,13.4,71.5,0.79,11.9,86,0.1,85.6,0.1,0.61,1.06,0.4
A1.fcs,None,71621,92.7,86.3,68.9,15,0.046,43.4,86.6,12,73.3,0.33,0.078,8.12,0.23,85.3,69,14.4,0.7,47.7,85.3,5.89,78.6,0.56,0.54,6.77,0.57
D12.fcs,None,58682,95.1,88.7,22.7,61.9,0.059,15.2,87.7,0.14,87.1,0.081,0.046,3.46,0.15,90.1,31.3,55.1,0.77,17.2,87.2,0.022,86.6,0.18,0.5,2.83,0.45
F7.fcs,None,56842,93.5,66.6,0.037,68.4,0.064,3.6,71.2,0.018,69.5,0.023,0.016,0.4,0.094,72.7,0.17,74.3,0.69,4.16,69.9,0.012,67.9,0.06,0.5,0.42,0.44
G2.fcs,None,65495,94.5,73.4,0.14,74.5,0.071,11.2,85.1,0.089,84.6,0.041,0.018,1.29,0.13,78.3,0.44,78.7,0.61,12.4,8.55E+01,9.14E-03,85.1,0.14,0.46,1.23,0.3
B9.fcs,None,51866,93.8,87.5,45.6,38,0.084,14.5,87.5,1.16,86.1,0.14,0.064,1.81,0.24,89.1,49,37.2,0.73,16.9,88.3,0.53,87.5,0.23,0.65,1.56,0.45
F8.fcs,PDL1,54798,93.6,76.1,0.68,76.2,0.061,10.2,83.6,0.089,83.1,0.047,0.024,0.99,0.16,80.3,1.36,79.1,0.75,11.5,83.8,0.044,83,0.11,0.59,0.9,0.41
H1.fcs,PDL1,53729,93.3,50.8,0.022,53.1,0.079,11.5,80.9,0.033,79.9,0.029,0.031,1.45,0.11,56.4,0.073,58.4,0.87,13.7,78.3,0.049,77.1,0.049,0.53,1.54,0.44
C12.fcs,PDL1,57150,94.8,86.5,24.4,58.6,0.079,13.7,85.5,0.29,84.8,0.092,0.036,3.1,0.17,88,31,53.4,0.85,15.7,85.3,0.069,84.7,0.092,0.63,2.46,0.32
C3.fcs,TGFb,81373,94,86,14.6,69.4,0.041,15.5,85.6,0.78,84.5,0.096,0.032,1.62,0.13,87.1,20.5,64.1,0.57,17.6,85.5,0.27,84.8,0.076,0.47,1.5,0.36
E11.fcs,TGFb,42194,94.3,85.3,13.5,69.6,0.046,11.8,86.7,0.15,86.2,0.067,0.037,1.37,0.15,87.4,16.6,69.2,0.74,12.7,86.6,0.044,86,0.059,0.58,1.02,0.46
F5.fcs,TGFb,56394,94.6,83.1,20.4,60,0.048,8.85,85.8,0.11,85.3,0.12,0.027,0.89,0.11,86,25.1,58.7,0.66,9.68,85.9,0.032,85.3,0.087,0.48,0.8,0.28
D11.fcs,TNF,58912,93.5,88.3,39,44.7,0.052,13.4,88.6,0.35,88.1,0.1,0.03,1.62,0.2,89.8,46.9,39.4,0.91,15.4,89.1,0.12,88.8,0.14,0.67,1.22,0.49
C5.fcs,TNF,74087,93.9,86,6.65,78.2,0.062,7.66,84.3,0.32,83.4,0.064,0.029,0.87,0.14,87.2,10.1,75.7,0.68,8.75,84.3,0.068,83.5,0.13,0.44,0.62,0.29
H3.fcs,TNF,65628,95.3,66.2,0.022,67.8,0.071,10.6,79.7,0.03,78.6,0.022,0.016,1.21,0.11,70.9,0.028,72.7,0.6,11.6,78.1,0.019,76.7,0.057,0.41,1.05,0.25
