Activation Type,Activation Time,Live Cell Count,Live Cell Frequency,CD4+pSTAT1(S727)+,CD4+pSTAT1(S727)high,CD4+pSTAT1(S727)low,CD4+pSTAT1(Y701)+,CD4+pSTAT2+,CD4+pSTAT3(S727)+,CD4+pSTAT3(S727)high,CD4+pSTAT3(S727)low,CD4+pSTAT3(Y705)+,CD4+pSTAT4+,CD4+pSTAT5+,CD4+pSTAT6+,CD8+pSTAT1(S727)+,CD8+pSTAT1(S727)high,CD8+pSTAT1(S727)low,CD8+pSTAT1(Y701)+,CD8+pSTAT2+,CD8+pSTAT3(S727)+,CD8+pSTAT3(S727)high,CD8+pSTAT3(S727)low,CD8+pSTAT3(Y705)+,CD8+pSTAT4+,CD8+pSTAT5+,CD8+pSTAT6+
Dynabeads (1:1),2h,11727,50.3,41.8,0.33,41.4,0.24,45.1,46.6,3.6,43.4,2.68,1.4,26.7,2.57,54.3,0.69,53.5,3.01,55.8,54.7,4.34,50.5,8.11,6.08,30.1,8.73
Dynabeads (1:1),2h,12837,50.5,57.2,0.12,57.1,0.32,61.9,61.8,4.29,57.8,2.83,1.41,39.7,2.56,67.6,0.51,67,1.84,69.3,68.4,5.23,63.4,8.88,6.79,43.5,10.8
Dynabeads (1:1),48h,11651,49,50.6,35.3,14.9,3.21,52,55.2,23,32.6,30.4,8.11,37.6,9.26,55.1,40.5,14.2,14.5,55,57.2,28.9,28.8,36.3,24.1,40.1,18
Dynabeads (1:1),48h,12182,49.3,59.6,39.5,19.5,4.52,59.1,62.9,28,35.6,43,9.33,42.7,8.54,67.6,49,18.1,16.8,65.5,67.6,36.8,31.5,53.8,26.6,46.9,19.6
Dynabeads (1:1),48h,12617,50.4,55.1,34.9,19.4,4.5,55.5,58.5,24.3,34.6,39.6,8.89,39.5,8.7,65.7,47.1,18.3,17.3,64.3,66,34.4,32.1,51,27.1,46.3,21.2
Dynabeads (1:1),72h,2417,43,30.9,15.9,14.8,4.2,33.5,37.7,14.8,23.3,17.5,10.5,13.2,14.2,35.4,11.6,23.6,19.3,35.6,33,12,21.2,21.2,23.4,15.9,19.1
Dynabeads (1:1),72h,9991,52.1,47,8.88,37.7,5.07,45.3,52.3,8.14,44.4,23.8,13.8,10.9,14,52.4,9.44,42.8,18.1,52,53.7,7.31,46.6,29.9,38.1,16,20.3
Dynabeads (1:1),72h,10896,63.8,44.6,16.9,27.3,4.09,49.8,47.1,16.8,30.6,26.6,19.8,16.4,19.9,39.5,8.31,31.1,16.1,48.6,37.4,8.14,29.3,28.3,38.2,15.3,21.2
Dynabeads (1:10),0.5h,25241,68.2,65.4,0.017,65.3,0.11,69.5,69.5,3.1,66.7,1,0.33,27,1.04,71.9,0.071,71.9,1.69,74.2,73.1,1.8,71.4,2.71,1.5,24.2,2.42
Dynabeads (1:10),0.5h,26734,69.1,66.4,0.047,66.4,0.19,70.8,70.8,3.3,67.8,0.9,0.28,27.7,0.78,72,0.064,71.9,1.77,74.7,73.9,2.33,71.7,2.68,1.69,24.1,2.62
Dynabeads (1:10),0.5h,24358,66.6,67.9,0.046,67.9,0.14,71,71.5,3.03,68.7,0.96,0.27,26.5,0.8,72.7,0.13,72.5,1.35,74.9,74.1,1.86,72.4,2.71,1.42,24.2,2.47
Dynabeads (1:10),24h,27180,65.7,72.6,6.61,65.4,0.23,70.6,74,5.7,68.7,16.4,1.07,33.5,2.27,80.5,9.63,70.1,1.38,77.6,79.9,5.6,74.7,19.4,2.81,32.5,5.21
Dynabeads (1:10),24h,28491,66.6,73.5,4.97,68,0.2,72.5,75.2,3.01,72.3,13,0.42,26.8,2.19,81.5,7.4,73.4,0.95,79.9,81.6,3.03,78.7,13.7,2.06,24,4.29
Dynabeads (1:10),24h,25484,64.9,68.2,5.41,62.3,0.29,69,70.6,3.86,67,12.7,0.62,31.4,2.04,78,7.91,69.4,1.12,77.7,78.3,3.65,74.9,15.1,2.17,29,4.76
Dynabeads (1:10),2h,23577,60.2,67.4,0.15,67.2,0.13,71.4,71.2,3,68.4,1.08,0.23,27.7,0.7,74.9,0.2,74.7,1.11,76.6,75.8,2.12,73.9,2.48,1.31,25.1,2.14
Dynabeads (1:10),2h,22213,59.7,64.3,0.13,64.1,0.12,69,69,3.19,66,1.29,0.31,27.1,0.88,72.1,0.24,71.9,1.48,74.3,73.6,2.1,71.7,2.38,1.33,23.5,1.88
Dynabeads (1:10),2h,24487,59,71.9,0.19,71.7,0.22,76.3,76.2,2.22,74.2,1.22,0.31,29.1,1.12,77.9,0.4,77.4,1.24,79.8,79.2,1.9,77.5,2.69,1.5,24.2,2.48
Dynabeads (1:10),48h,24813,65.4,69.5,23.4,44.9,1.22,69.2,71.4,18.8,53.4,41.7,2.11,37.8,5.78,78,35.6,40.7,3.47,76.6,78,19,59.9,43.9,5.63,37.1,11.5
Dynabeads (1:10),48h,23878,63.1,70.2,27.2,41.6,1.42,70.4,72.4,18.5,54.7,44.9,3.3,38.4,4.89,79.6,41.5,36.3,3.66,79.1,79.9,19.3,61.5,47.6,7.16,39.3,10.7
Dynabeads (1:10),48h,25415,60.2,77,29.9,45.6,1.59,76.7,78.7,16.1,63.3,35.5,2.68,42.6,5.92,84.3,43.3,39.1,3.5,83.2,84.6,15,70.1,34,6.16,40.2,11.2
Dynabeads (1:10),72h,16843,80,41.2,26.6,14.3,3.84,42.5,46.6,16.9,30,14.4,7.24,26.7,4.46,41.4,26.3,14.7,13.5,43.9,43.2,17,26.5,12.6,18.1,25.5,9.05
Dynabeads (1:10),72h,22883,84.4,42.4,28.2,13.8,4.27,42.8,46.9,16.3,31.1,14.3,8.1,24.7,4.45,41.2,26.4,14.5,14.6,45.2,44,16.3,27.9,13.2,19.9,24.3,9.81
Dynabeads (1:10),72h,22971,85.2,48,33.6,13.9,5.04,49,52.1,20.1,32.4,19.6,9.58,29.2,4.78,47.5,32.6,14.3,15.3,51.2,49.9,20.4,29.6,19.1,21.8,27.9,10.2
ImmunoCult,0.5h,22158,62.1,70.7,0.23,70.4,0.26,71.7,72.2,6.41,66.2,0.89,0.082,33.7,0.73,74.6,0.38,74.2,1.92,73.4,73.9,4.63,69.5,2.29,1.06,30.7,1.56
